"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets Received","Likes Received","Tweet Location","Tweet Language","User Id",Name,Username,"User Bio","Verified or Non-Verified","Profile URL","User Followers","User Following","User Account Creation Date"
"""1434873817143275523""",https://twitter.com/PfBY41vlXWBvJ05/status/1434873817143275523,"06-Sep-2021 13:39:11","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for iPhone""",50,0,,English,"""1387714339365261313""",山楼,PfBY41vlXWBvJ05,"""just like 刘宇 雷bfzy，jycq，hdy""",Non-Verified,https://twitter.com/PfBY41vlXWBvJ05,16,18,"29-Apr-2021 10:24:26"
"""1434873728156848128""",https://twitter.com/henry56510703/status/1434873728156848128,"06-Sep-2021 13:38:50","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for iPhone""",50,0,,English,"""1400091220899106831""",ly_yyds,henry56510703,"""Everything will be ok. I'll always be there for you. Wishing you all the best - LiuYu""",Non-Verified,https://twitter.com/henry56510703,25,64,"02-Jun-2021 14:06:50"
"""1434872137001537539""",https://twitter.com/AllaboutpagentT/status/1434872137001537539,"06-Sep-2021 13:32:30","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for iPhone""",50,0,,English,"""1196797004027793408""","III มะมิ๊ที่นุ่มฟูว~ 🌞🌻",AllaboutpagentT,"""**อ่านก่อนฟอล** บ้านางงาม-อินการเมือง-ปราดเปรื่องเรื่องติ่งผู้ชาย อารมณ์ขึ้นๆลงๆเหมือนคนวัยทอง *****รับได้ก็ฟอล รับไม่ได้กดผ่าน*****""",Non-Verified,https://twitter.com/AllaboutpagentT,43,153,"19-Nov-2019 14:27:42"
"""1434871991438176271""",https://twitter.com/i_loveTFBOYS/status/1434871991438176271,"06-Sep-2021 13:31:56","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for iPad""",50,0,"Pathum Thani",English,"""1077924063958290432""",(SLOW)จู่ๆก็มีงานวงคือฉันฝันไปค่ะ🥺,i_loveTFBOYS,"""ᎢFᏴᎾYᏚ 🧡︎(¨`•.•´¨)🍀 คีพวงเมนหวังหยวน || วนเวียนชั้น 18F || -(¯`v´¯)-🐟 หลิวอวี่ || หวีดตามหน้างาน || ถนัดรีแต่ก็หาเพื่อนหวีดด้วย‼️""",Non-Verified,https://twitter.com/i_loveTFBOYS,134,339,"26-Dec-2018 13:48:18"
"""1434871985033527301""",https://twitter.com/Liulucute/status/1434871985033527301,"06-Sep-2021 13:31:54","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for Android""",50,0,"ไม่รับลูกไพ๊ - คีพอันดับ",English,"""840608481581314049""",". 𝕡𝕠𝕣𝒇𝒐𝒓🥛ᵎ ◞𝕃𝕦𝗁𝘢𝘯𔓕🄻𝕚𝕦𝑦𝑢",Liulucute,"""ꔛ𝚕𝚞𝚑𝚊𝚗&𝚕𝚒𝚞𝚢𝚞'𝚜 𝚖𝚘𝚖𝚖𝚢 ♡︎ sehun 𝚎𝚡𝚘 ot9 ft.𝚠𝚞𝚑𝚊𝚒🌊  เอ็นดูลูกเขยและแก๊งนางฟ้า 16810
#𝙷𝚞𝚗𝚑𝚊𝚗 #𝙷𝚊𝚒𝚢𝚞 #𝙱𝙵𝚉𝚈 #𝚊𝚕𝚕宇""",Non-Verified,https://twitter.com/Liulucute,778,607,"11-Mar-2017 17:00:54"
"""1434871600659062784""",https://twitter.com/DuBBlew_B/status/1434871600659062784,"06-Sep-2021 13:30:22","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for Android""",50,0,,English,"""912886138653728768""",Dubblew🐟🐠,DuBBlew_B,"""Support : GOT7
Support MB : MARK JACKSON BAMBAM YOUNGJAE
Support : INTO1 
Support MB : LiuYu ZhouKeYu ZhangJiayuan LinMo Nine AK
Retweet only""",Non-Verified,https://twitter.com/DuBBlew_B,30,110,"27-Sep-2017 03:46:30"
"""1434871466634330119""",https://twitter.com/laiparn/status/1434871466634330119,"06-Sep-2021 13:29:50","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for Android""",50,0,陈卓璇💔💔,English,"""1254436253295996928""","𝓛𝓪𝓲𝓟𝓪𝓻𝓷 - 🅂🄻🄾🅆",laiparn,"""♡ 陈卓璇 ♡ 赖冠霖 ♡ 姚琛 ♡ 刘宇 ♡张嘉元 ♡ 周柯宇 ♡ 肖宇梁♡""",Non-Verified,https://twitter.com/laiparn,170,84,"26-Apr-2020 15:44:56"
"""1434871019609591808""",https://twitter.com/xiaomocha_/status/1434871019609591808,"06-Sep-2021 13:28:04","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for iPad""",50,0,,English,"""1387673059201470466""","whaleliu 🐳",xiaomocha_,"""^O^ // เราไม่เคยเป็นที่รักและที่โปรดปราณ //""",Non-Verified,https://twitter.com/xiaomocha_,131,126,"29-Apr-2021 07:40:32"
"""1434870979960786944""",https://twitter.com/ForLiuYu_TH/status/1434870979960786944,"06-Sep-2021 13:27:54","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for iPhone""",50,0,"24082000 ♡",English,"""1415684804339589120""","For Liuyu TH",ForLiuYu_TH,"""˗ˏˋ For Liuyu TH Fans 🐋💙 ´ˎ˗
𓂂𓏸 update and support INTO1'S CENTER #LIUYU #刘宇 #หลิวอวี่ ⤾·˚ 小鱼丸和鲨姐 シ︎♡︎
🚫 𝐃𝐨𝐧'𝐭 𝐑𝐞𝐩𝐨𝐬𝐭 𝐄𝐯𝐞𝐫𝐲𝐭𝐡𝐢𝐧𝐠 🚫""",Non-Verified,https://twitter.com/ForLiuYu_TH,1390,8,"15-Jul-2021 14:49:13"
"""1434870923736203268""",https://twitter.com/leiurusly/status/1434870923736203268,"06-Sep-2021 13:27:41","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter Web App""",50,0,"nằm khóc trong lòng 刘宇 ",English,"""1362782044527333382""","刘宇 , 祝你一生的乐趣和平 ✨",leiurusly,"""S 🪄✨ slytherin ♏ only #刘宇 ly 🎶 一生平安，前程似锦 🐋 历遍山河，刘宇值得 💙""",Non-Verified,https://twitter.com/leiurusly,525,71,"19-Feb-2021 15:12:29"
